Date, Time, Temperature *c, Pressure hPa, Humidity %, Altitude m,LoopTime
08/08/2019,13:01:20,27.435,1007.267,51.795,20.065,0.000
08/08/2019,13:01:21,27.575,1007.337,51.985,19.525,0.005
08/08/2019,13:01:22,27.585,1007.327,52.065,19.555,1.031
08/08/2019,13:01:23,27.585,1007.317,51.695,19.735,1.030
08/08/2019,13:01:24,27.595,1007.297,51.395,19.855,1.030
08/08/2019,13:01:25,27.595,1007.327,51.235,19.585,1.030
08/08/2019,13:01:26,27.595,1007.317,51.125,19.635,1.030
08/08/2019,13:01:27,27.595,1007.307,50.915,19.785,1.030
08/08/2019,13:01:28,27.595,1007.307,50.715,19.735,1.030
08/08/2019,13:01:29,27.595,1007.317,50.605,19.635,1.030
08/08/2019,13:01:30,27.595,1007.317,50.635,19.685,1.030
08/08/2019,13:01:31,27.605,1007.297,50.875,19.815,1.030
08/08/2019,13:01:32,27.605,1007.327,51.245,19.615,1.030
08/08/2019,13:01:33,27.615,1007.337,51.585,19.485,1.030
08/08/2019,13:01:34,27.615,1007.327,51.545,19.595,1.030
08/08/2019,13:01:35,27.595,1007.327,51.425,19.535,1.030
08/08/2019,13:01:36,27.615,1007.347,51.505,19.385,1.030
08/08/2019,13:01:37,27.615,1007.327,51.605,19.595,1.030
08/08/2019,13:01:38,27.615,1007.327,51.695,19.565,1.030
08/08/2019,13:01:40,27.615,1007.337,51.755,19.485,1.030
08/08/2019,13:01:41,27.615,1007.327,51.985,19.565,1.030
08/08/2019,13:01:42,27.625,1007.337,52.065,19.525,1.030
08/08/2019,13:01:43,27.615,1007.307,51.835,19.705,1.030
08/08/2019,13:01:44,27.615,1007.307,51.605,19.755,1.030
08/08/2019,13:01:45,27.615,1007.307,51.555,19.785,1.030
08/08/2019,13:01:46,27.605,1007.327,51.295,19.585,1.030
08/08/2019,13:01:47,27.615,1007.307,51.315,19.755,1.030
08/08/2019,13:01:48,27.615,1007.317,51.555,19.675,1.030
08/08/2019,13:01:49,27.625,1007.317,52.195,19.615,1.030
08/08/2019,13:01:50,27.615,1007.327,51.835,19.575,1.030
08/08/2019,13:01:51,27.625,1007.327,51.805,19.605,1.030
08/08/2019,13:01:52,27.635,1007.287,51.905,19.875,1.030
08/08/2019,13:01:53,27.625,1007.307,51.835,19.725,1.030
08/08/2019,13:01:54,27.625,1007.327,51.855,19.565,1.030
08/08/2019,13:01:55,27.625,1007.297,51.785,19.785,1.030
08/08/2019,13:01:56,27.625,1007.307,51.815,19.705,1.030
08/08/2019,13:01:57,27.635,1007.317,51.885,19.575,1.030
08/08/2019,13:01:58,27.635,1007.297,52.065,19.815,1.030
08/08/2019,13:01:59,27.635,1007.317,51.995,19.655,1.030
08/08/2019,13:02:00,27.635,1007.347,51.865,19.385,1.030
08/08/2019,13:02:01,27.645,1007.347,51.725,19.395,1.030
08/08/2019,13:02:02,27.645,1007.307,51.705,19.735,1.030
08/08/2019,13:02:03,27.645,1007.337,51.715,19.505,1.030
08/08/2019,13:02:04,27.645,1007.317,51.695,19.655,1.030
08/08/2019,13:02:05,27.655,1007.337,51.645,19.475,1.030
08/08/2019,13:02:06,27.655,1007.297,51.585,19.805,1.030
08/08/2019,13:02:07,27.655,1007.327,51.915,19.605,1.030
08/08/2019,13:02:08,27.655,1007.307,52.015,19.705,1.030
08/08/2019,13:02:09,27.655,1007.287,52.325,19.955,1.030
08/08/2019,13:02:10,27.655,1007.317,52.265,19.665,1.030
08/08/2019,13:02:11,27.665,1007.307,52.485,19.765,1.030
08/08/2019,13:02:12,27.665,1007.287,52.385,19.945,1.030
08/08/2019,13:02:13,27.675,1007.307,52.305,19.765,1.030
08/08/2019,13:02:15,27.665,1007.287,52.165,19.925,1.030
08/08/2019,13:02:16,27.665,1007.267,52.015,20.045,1.030
08/08/2019,13:02:17,27.675,1007.267,51.815,20.065,1.030
08/08/2019,13:02:18,27.655,1007.327,51.675,19.605,1.030
